2019-06-26 15:02:51.630 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Starting HotelmanagerApplication on SurfaceBook with PID 17076 (C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager\target\classes started by zjm97 in C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager)
2019-06-26 15:02:55.566 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@755e828b' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:02:55.571 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$fbf9fcfb] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:02:55.577 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:02:56.392 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8280 (http)
2019-06-26 15:02:56.418 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8280"]
2019-06-26 15:02:56.433 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-06-26 15:02:56.434 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-06-26 15:02:56.633 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-06-26 15:02:56.634 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4817 ms
2019-06-26 15:02:56.966 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-06-26 15:02:57.560 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-06-26 15:03:00.634 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6d25e8a7, org.springframework.security.web.context.SecurityContextPersistenceFilter@7d9fc903, org.springframework.security.web.header.HeaderWriterFilter@123f95a2, org.springframework.security.web.authentication.logout.LogoutFilter@b2ea180, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@aff794, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@50879379, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@402fb704, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@78315e65, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@10f55ad4, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@57b12d87, org.springframework.security.web.session.SessionManagementFilter@173cdab3, org.springframework.security.web.access.ExceptionTranslationFilter@3dea3b87, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5e0ca7b7]
2019-06-26 15:03:01.377 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-06-26 15:03:01.686 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-06-26 15:03:01.808 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8280"]
2019-06-26 15:03:01.891 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8280 (http) with context path ''
2019-06-26 15:03:01.907 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Started HotelmanagerApplication in 11.8 seconds (JVM running for 16.151)
2019-06-26 15:03:03.432 [RMI TCP Connection(2)-192.168.101.90] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-06-26 15:03:03.478 [RMI TCP Connection(2)-192.168.101.90] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-06-26 15:03:03.514 [RMI TCP Connection(2)-192.168.101.90] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 22 ms
2019-06-26 15:03:04.079 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-06-26 15:03:04.085 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-06-26 15:13:58.597 [http-nio-8280-exec-3] INFO  c.s.h.a.MyAuthenticationSuccessHandler - MyAuthenticationSuccessHandler login success!
2019-06-26 15:13:58.599 [http-nio-8280-exec-3] INFO  c.s.h.a.MyAuthenticationSuccessHandler - 跳转原网页:http://localhost:8280/avatar_test.html
2019-06-26 15:15:39.233 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Starting HotelmanagerApplication on SurfaceBook with PID 3436 (C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager\target\classes started by zjm97 in C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager)
2019-06-26 15:15:39.239 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - No active profile set, falling back to default profiles: default
2019-06-26 15:15:39.530 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-06-26 15:15:39.531 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-06-26 15:15:42.110 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-06-26 15:15:42.114 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-06-26 15:15:42.166 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35ms. Found 0 repository interfaces.
2019-06-26 15:15:42.913 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'globalExceptionHandler' of type [com.shixi.hotelmanager.GlobalExceptionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:42.998 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$19899ef0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:43.169 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$b237672a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:43.199 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:43.212 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1ec8f98c' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:43.252 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$d70c09dc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:43.259 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 15:15:44.130 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8280 (http)
2019-06-26 15:15:44.154 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8280"]
2019-06-26 15:15:44.166 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-06-26 15:15:44.167 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-06-26 15:15:44.388 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-06-26 15:15:44.388 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4857 ms
2019-06-26 15:15:44.684 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-06-26 15:15:45.264 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-06-26 15:15:48.632 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3dd976a6, org.springframework.security.web.context.SecurityContextPersistenceFilter@7dd62692, org.springframework.security.web.header.HeaderWriterFilter@4169967c, org.springframework.security.web.authentication.logout.LogoutFilter@626377ad, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@d3d4fb7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@444c3e17, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5d249a51, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2579a8e2, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@5b1e5998, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5fb56a7e, org.springframework.security.web.session.SessionManagementFilter@1980520c, org.springframework.security.web.access.ExceptionTranslationFilter@6bc105e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@612e8f73]
2019-06-26 15:15:49.236 [restartedMain] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2019-06-26 15:15:49.584 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-06-26 15:15:49.727 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8280"]
2019-06-26 15:15:49.800 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8280 (http) with context path ''
2019-06-26 15:15:49.815 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Started HotelmanagerApplication in 12.187 seconds (JVM running for 16.518)
2019-06-26 15:15:49.977 [RMI TCP Connection(1)-192.168.101.90] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-06-26 15:15:49.977 [RMI TCP Connection(1)-192.168.101.90] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-06-26 15:15:50.000 [RMI TCP Connection(1)-192.168.101.90] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 23 ms
2019-06-26 15:15:53.491 [parallel-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-06-26 15:15:53.494 [parallel-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-06-26 15:16:01.735 [http-nio-8280-exec-5] INFO  c.s.h.a.MyAuthenticationSuccessHandler - MyAuthenticationSuccessHandler login success!
2019-06-26 15:16:01.736 [http-nio-8280-exec-5] INFO  c.s.h.a.MyAuthenticationSuccessHandler - 跳转主页!
2019-06-26 16:26:23.719 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-06-26 16:26:23.757 [Thread-26] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2019-06-26 16:26:25.915 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Starting HotelmanagerApplication on SurfaceBook with PID 3436 (C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager\target\classes started by zjm97 in C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager)
2019-06-26 16:26:25.916 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - No active profile set, falling back to default profiles: default
2019-06-26 16:26:27.501 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-06-26 16:26:27.502 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-06-26 16:26:27.547 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 43ms. Found 0 repository interfaces.
2019-06-26 16:26:27.729 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'globalExceptionHandler' of type [com.shixi.hotelmanager.GlobalExceptionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.760 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$19899ef0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.764 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$b237672a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.768 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.769 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@5ec579cc' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.774 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$d70c09dc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:27.774 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:28.219 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8280 (http)
2019-06-26 16:26:28.223 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8280"]
2019-06-26 16:26:28.224 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-06-26 16:26:28.224 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-06-26 16:26:28.268 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-06-26 16:26:28.269 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2347 ms
2019-06-26 16:26:28.409 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2019-06-26 16:26:28.418 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2019-06-26 16:26:32.409 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2019-06-26 16:26:32.421 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
2019-06-26 16:26:32.423 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-06-26 16:26:32.514 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-06-26 16:26:44.340 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Starting HotelmanagerApplication on SurfaceBook with PID 6232 (C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager\target\classes started by zjm97 in C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager)
2019-06-26 16:26:44.347 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - No active profile set, falling back to default profiles: default
2019-06-26 16:26:44.473 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-06-26 16:26:44.474 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-06-26 16:26:46.904 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-06-26 16:26:46.911 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-06-26 16:26:46.967 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36ms. Found 0 repository interfaces.
2019-06-26 16:26:47.479 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'globalExceptionHandler' of type [com.shixi.hotelmanager.GlobalExceptionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.555 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$f58c23f9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.585 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration$$EnhancerBySpringCGLIB$$8e39ec33] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.592 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.596 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@1d4ed19c' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.601 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration$$EnhancerBySpringCGLIB$$b30e8ee5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:47.606 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-26 16:26:48.351 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8280 (http)
2019-06-26 16:26:48.376 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8280"]
2019-06-26 16:26:48.389 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-06-26 16:26:48.390 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-06-26 16:26:48.566 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-06-26 16:26:48.567 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4091 ms
2019-06-26 16:26:48.985 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2019-06-26 16:26:49.537 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2019-06-26 16:26:52.028 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2019-06-26 16:26:52.060 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2019-06-26 16:26:52.064 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-06-26 16:26:52.086 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-06-26 16:28:34.128 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - Starting HotelmanagerApplication on SurfaceBook with PID 22180 (C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager\target\classes started by zjm97 in C:\Users\zjm97.DESKTOP-NUUUEH8\Desktop\HotelManager)
2019-06-26 16:28:34.138 [restartedMain] INFO  com.shixi.hotelmanager.HotelmanagerApplication - No active profile set, falling back to default profiles: default
2019-06-26 16:28:34.245 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2019-06-26 16:28:34.245 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2019-06-26 16:28:36.296 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-06-26 16:28:36.301 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-06-26 16:28:36.360 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41ms. Found 0 repository interfaces.
2019-06-26 16:28:36.875 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'globalExceptionHandler' of type [com.shixi.hotelmanager.GlobalExceptionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
